ID,Round,Truth,Predicted,Category,Pattern,Suffix
01.2.1_A,1,Yes,No,01,.2.,_A
01.2.1_A,2,Yes,No,01,.2.,_A
01.2.1_A,3,Yes,No,01,.2.,_A
01.2.2_A,3,Yes,No,01,.2.,_A
01.2.3_A,1,Yes,No,01,.2.,_A
01.2.3_A,3,Yes,No,01,.2.,_A
01.2.3_B,4,Yes,No,01,.2.,_B
01.2.4_A,2,Yes,No,01,.2.,_A
01.3.2_B,4,No,Yes,01,.3.,_B
01.3.4_B,4,No,Yes,01,.3.,_B
01.3.4_B,5,No,Yes,01,.3.,_B
01.3.5_B,4,No,Yes,01,.3.,_B
01.4.4_C,2,No,Yes,01,.4.,_C
02.3.2_C,3,No,Yes,02,.3.,_C
02.3.3_C,4,No,Yes,02,.3.,_C
02.3.4_A,4,No,Yes,02,.3.,_A
02.4.2_C,1,No,1,02,.4.,_C
02.4.2_C,2,No,2,02,.4.,_C
02.4.2_C,3,Yes,3,02,.4.,_C
02.4.2_C,4,Yes,4,02,.4.,_C
02.4.2_C,5,Yes,5,02,.4.,_C
03.4.1_C,1,No,Yes,03,.4.,_C
05.3.1_B,4,No,Yes,05,.3.,_B
05.3.1_B,5,No,Yes,05,.3.,_B
05.3.2_B,4,No,Yes,05,.3.,_B
05.3.3_A,4,No,Yes,05,.3.,_A
05.3.3_A,5,No,Yes,05,.3.,_A
05.3.4_A,4,No,Yes,05,.3.,_A
05.3.5_B,4,No,Yes,05,.3.,_B
05.3.5_B,5,No,Yes,05,.3.,_B
05.4.2_C,2,No,Yes,05,.4.,_C
06.3.1_A,4,No,Yes,06,.3.,_A
06.3.2_B,2,No,Yes,06,.3.,_B
06.3.2_B,3,Yes,No,06,.3.,_B
06.3.4_B,4,No,Yes,06,.3.,_B
06.3.5_A,4,No,Yes,06,.3.,_A
06.4.5_C,1,No,Round 1,06,.4.,_C
06.4.5_C,2,No,Round 2,06,.4.,_C
06.4.5_C,3,Yes,Round 3,06,.4.,_C
06.4.5_C,4,Yes,Round 4,06,.4.,_C
06.4.5_C,5,Yes,Round 5,06,.4.,_C
07.3.1_B,4,No,Yes,07,.3.,_B
07.3.2_B,5,No,Yes,07,.3.,_B
07.3.3_A,1,No,Yes,07,.3.,_A
07.3.3_A,2,No,Yes,07,.3.,_A
07.3.3_A,4,No,Yes,07,.3.,_A
08.2.4_A,2,Yes,No,08,.2.,_A
08.2.4_B,2,Yes,No,08,.2.,_B
08.2.4_B,5,Yes,No,08,.2.,_B
08.2.5_B,4,Yes,No,08,.2.,_B
08.3.1_B,1,No,Yes,08,.3.,_B
08.3.1_B,2,No,Yes,08,.3.,_B
08.3.3_B,4,No,Yes,08,.3.,_B
09.4.3_C,2,No,Yes,09,.4.,_C
09.4.3_C,5,Yes,No,09,.4.,_C
10.2.2_B,3,Yes,No,10,.2.,_B
10.3.4_A,4,No,Yes,10,.3.,_A
11.3.2_A,1,No,Yes,11,.3.,_A
11.3.2_A,2,No,Yes,11,.3.,_A
11.3.2_A,7,No,Yes,11,.3.,_A
11.3.3_B,4,No,Yes,11,.3.,_B
13.3.4_B,4,No,Yes,13,.3.,_B
14.2.4_C,4,Yes,No,14,.2.,_C
14.3.1_B,4,No,Yes,14,.3.,_B
14.3.1_B,5,No,Yes,14,.3.,_B
17.1_B,1,No,Yes,17,.1_B.,_B
17.1_B,2,No,Yes,17,.1_B.,_B
17.1_B,3,No,Yes,17,.1_B.,_B
17.1_C,1,No,Yes,17,.1_C.,_C
17.1_C,2,No,Yes,17,.1_C.,_C
17.1_C,3,No,Yes,17,.1_C.,_C
17.1_C,4,No,Yes,17,.1_C.,_C
17.2_B,1,No,Yes,17,.2_B.,_B
17.2_B,2,No,Yes,17,.2_B.,_B
17.2_B,3,No,Yes,17,.2_B.,_B
17.2_C,1,No,Yes,17,.2_C.,_C
17.2_C,2,No,Yes,17,.2_C.,_C
17.2_C,3,No,Yes,17,.2_C.,_C
17.3_A,1,No,Yes,17,.3_A.,_A
17.3_A,2,No,Yes,17,.3_A.,_A
17.3_A,3,No,Yes,17,.3_A.,_A
17.3_B,1,No,Yes,17,.3_B.,_B
17.3_B,2,No,Yes,17,.3_B.,_B
17.3_B,3,No,Yes,17,.3_B.,_B
17.3_B,4,No,Yes,17,.3_B.,_B
17.3_C,1,No,Yes,17,.3_C.,_C
17.3_C,2,No,Yes,17,.3_C.,_C
17.3_C,3,No,Yes,17,.3_C.,_C
17.3_C,4,No,Yes,17,.3_C.,_C
17.4_A,1,No,Yes,17,.4_A.,_A
17.4_A,2,No,Yes,17,.4_A.,_A
17.4_A,3,No,Yes,17,.4_A.,_A
17.4_B,1,No,Yes,17,.4_B.,_B
17.4_B,2,No,Yes,17,.4_B.,_B
17.4_B,3,No,Yes,17,.4_B.,_B
17.4_B,4,No,Yes,17,.4_B.,_B
17.4_C,1,No,Yes,17,.4_C.,_C
17.4_C,2,No,Yes,17,.4_C.,_C
17.4_C,3,No,Yes,17,.4_C.,_C
17.4_C,4,No,Yes,17,.4_C.,_C
17.4_C,5,No,Yes,17,.4_C.,_C
17.5_A,1,No,Yes,17,.5_A.,_A
17.5_A,2,No,Yes,17,.5_A.,_A
17.5_B,1,No,Yes,17,.5_B.,_B
17.5_B,2,No,Yes,17,.5_B.,_B
17.5_B,3,No,Yes,17,.5_B.,_B
17.5_B,4,No,Yes,17,.5_B.,_B
17.5_C,1,No,Yes,17,.5_C.,_C
17.5_C,2,No,Yes,17,.5_C.,_C
17.5_C,3,No,Yes,17,.5_C.,_C
18.1_A,4,No,Yes,18,.1_A.,_A
18.1_B,1,No,Yes,18,.1_B.,_B
18.1_B,2,No,Yes,18,.1_B.,_B
18.1_B,3,No,Yes,18,.1_B.,_B
18.1_B,4,No,Yes,18,.1_B.,_B
18.1_C,6,No,Yes,18,.1_C.,_C
18.1_C,7,No,Yes,18,.1_C.,_C
18.1_C,8,No,Yes,18,.1_C.,_C
18.1_C,9,No,Yes,18,.1_C.,_C
18.1_C,10,No,Yes,18,.1_C.,_C
18.2_B,2,No,Yes,18,.2_B.,_B
18.2_B,3,No,Yes,18,.2_B.,_B
18.2_B,4,No,Yes,18,.2_B.,_B
18.3_B,4,No,Yes,18,.3_B.,_B
18.3_C,1,No,1,18,.3_C.,_C
18.3_C,2,No,2,18,.3_C.,_C
18.3_C,3,No,3,18,.3_C.,_C
18.3_C,4,No,4,18,.3_C.,_C
18.4_B,4,No,Yes,18,.4_B.,_B
18.5_B,4,No,Yes,18,.5_B.,_B
18.5_C,2,No,Yes,18,.5_C.,_C
18.5_C,3,No,Yes,18,.5_C.,_C
18.5_C,4,No,Yes,18,.5_C.,_C
18.5_C,5,No,Yes,18,.5_C.,_C
19.1_A,1,No,Yes,19,.1_A.,_A
19.1_A,2,No,Yes,19,.1_A.,_A
19.1_B,1,No,Yes,19,.1_B.,_B
19.1_B,2,No,Yes,19,.1_B.,_B
19.1_B,3,No,Yes,19,.1_B.,_B
19.2_A,1,No,Yes,19,.2_A.,_A
19.2_A,2,No,Yes,19,.2_A.,_A
19.2_B,1,No,Yes,19,.2_B.,_B
19.2_B,2,No,Yes,19,.2_B.,_B
19.2_B,3,No,Yes,19,.2_B.,_B
19.3_B,1,No,Yes,19,.3_B.,_B
19.4_A,1,No,Yes,19,.4_A.,_A
19.4_A,2,No,Yes,19,.4_A.,_A
19.4_A,3,No,Yes,19,.4_A.,_A
19.4_B,1,No,Yes,19,.4_B.,_B
19.4_B,2,No,Yes,19,.4_B.,_B
19.4_B,3,No,Yes,19,.4_B.,_B
